customerID,Churn,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PhoneService,MultipleLines,Cuentas_Diarias
0020-INWCK,No,Two year,Yes,Credit card (automatic),95.75,6849.4,Female,0,Yes,Yes,71,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Yes,3.139344262295082
0020-JDNXP,No,One year,No,Mailed check,61.25,1993.2,Female,0,Yes,Yes,34,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No phone service,2.0081967213114753
0021-IKXGC,No,Month-to-month,Yes,Electronic check,72.1,72.1,Female,1,No,No,1,Fiber optic,No,No,No,No,No,No,Yes,Yes,2.363934426229508
0022-TCJCI,Yes,One year,No,Credit card (automatic),62.7,2791.5,Male,1,No,No,45,DSL,Yes,No,Yes,No,No,Yes,Yes,No,2.055737704918033
0023-HGHWL,Yes,Month-to-month,Yes,Electronic check,25.1,25.1,Male,1,No,No,1,DSL,No,No,No,No,No,No,No,No phone service,0.8229508196721312
0023-UYUPN,No,One year,No,Electronic check,25.2,1306.3,Female,1,Yes,No,50,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,0.8262295081967213
0023-XUOPT,Yes,Month-to-month,No,Electronic check,94.1,1215.6,Female,0,Yes,No,13,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Yes,3.085245901639344
0027-KWYKW,No,Month-to-month,Yes,Electronic check,83.75,1849.95,Female,0,Yes,Yes,23,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,2.7459016393442623
0030-FNXPP,No,Month-to-month,No,Mailed check,19.85,57.2,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6508196721311476
0031-PVLZI,Yes,Month-to-month,No,Mailed check,20.35,76.35,Female,0,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6672131147540984
0032-PGELS,Yes,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Female,0,Yes,Yes,1,DSL,Yes,No,No,No,No,No,No,No phone service,1.0
0036-IHMOT,No,One year,Yes,Bank transfer (automatic),103.7,5656.75,Female,0,Yes,Yes,55,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3.4
0040-HALCW,No,Two year,No,Credit card (automatic),20.4,1090.6,Male,0,Yes,Yes,54,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6688524590163933
0042-JVWOJ,No,One year,Yes,Bank transfer (automatic),19.6,471.85,Male,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6426229508196721
0042-RLHYP,No,Two year,No,Bank transfer (automatic),19.7,1396.9,Female,0,Yes,Yes,69,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6459016393442623
0047-ZHDTW,,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,Female,0,No,No,11,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,2.5901639344262297
0048-LUMLS,No,One year,No,Credit card (automatic),91.2,3247.55,Male,0,Yes,Yes,37,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,2.9901639344262296
0048-PIHNL,No,One year,No,Bank transfer (automatic),20.45,900.9,Female,0,Yes,No,49,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6704918032786885
0052-DCKON,No,One year,No,Bank transfer (automatic),115.8,7942.15,Male,0,Yes,No,66,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.7967213114754097
0052-YNYOT,No,One year,No,Electronic check,20.55,1343.4,Female,0,No,No,67,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6737704918032787
0056-EPFBG,No,Two year,Yes,Credit card (automatic),39.4,825.4,Male,0,Yes,Yes,20,DSL,Yes,No,Yes,Yes,No,No,No,No phone service,1.2918032786885245
0057-QBUQH,No,Two year,Yes,Electronic check,25.1,1070.15,Female,0,No,Yes,43,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,0.8229508196721312
0058-EVZWM,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Female,0,Yes,No,55,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes,2.944262295081967
0060-FUALY,No,Month-to-month,Yes,Electronic check,94.75,5597.65,Female,0,Yes,No,59,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,3.1065573770491803
0064-SUDOG,No,Two year,No,Bank transfer (automatic),20.3,224.5,Female,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6655737704918033
0064-YIJGF,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929,Male,0,Yes,Yes,27,Fiber optic,No,No,No,No,No,No,Yes,Yes,2.4836065573770494
0067-DKWBL,Yes,Month-to-month,Yes,Electronic check,49.25,91.1,Male,1,No,No,2,DSL,Yes,No,No,No,No,No,Yes,No,1.6147540983606556
0068-FIGTF,No,One year,No,Mailed check,78.2,2078.95,Female,0,No,No,27,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2.5639344262295083
0071-NDAFP,No,Two year,No,Credit card (automatic),25.5,630.6,Male,0,Yes,Yes,25,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,0.8360655737704918
0074-HDKDG,No,One year,Yes,Bank transfer (automatic),61.6,1611,Male,0,Yes,Yes,25,DSL,Yes,Yes,Yes,No,No,No,Yes,No,2.019672131147541
0076-LVEPS,No,Month-to-month,Yes,Mailed check,45.0,1242.45,Male,0,No,Yes,29,DSL,Yes,Yes,Yes,Yes,No,No,No,No phone service,1.4754098360655739
0078-XZMHT,No,Two year,Yes,Bank transfer (automatic),85.15,6316.2,Male,0,Yes,No,72,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.791803278688525
0080-EMYVY,No,One year,No,Credit card (automatic),51.45,727.85,Female,0,No,No,14,DSL,No,Yes,No,No,No,No,Yes,No,1.6868852459016395
0080-OROZO,No,One year,Yes,Electronic check,99.25,3532,Female,0,No,No,35,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,3.2540983606557377
0082-LDZUE,No,Month-to-month,Yes,Mailed check,44.3,44.3,Male,0,No,No,1,DSL,No,No,No,No,No,No,Yes,No,1.4524590163934425
0082-OQIQY,No,Month-to-month,Yes,Electronic check,94.2,2607.6,Male,0,No,No,29,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,No,3.0885245901639347
0083-PIVIK,No,One year,No,Electronic check,81.25,5567.55,Male,0,No,No,64,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2.6639344262295084
0089-IIQKO,No,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,Female,0,Yes,Yes,39,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes,3.277049180327869
0093-EXYQL,No,Month-to-month,Yes,Electronic check,91.55,3673.6,Female,1,No,No,40,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,3.001639344262295
0093-XWZFY,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Male,0,No,No,40,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3.4262295081967213
0094-OIFMO,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Female,1,No,No,11,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,3.1147540983606556
0096-BXERS,No,Month-to-month,No,Electronic check,50.35,314.55,Female,0,Yes,No,6,DSL,No,No,No,No,No,No,Yes,Yes,1.6508196721311477
0096-FCPUF,No,Month-to-month,Yes,Mailed check,64.5,1888.45,Male,0,No,No,30,DSL,Yes,No,No,No,No,Yes,Yes,Yes,2.1147540983606556
0098-BOWSO,No,Month-to-month,Yes,Electronic check,19.4,529.8,Male,0,No,No,27,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6360655737704918
0100-DUVFC,No,One year,Yes,Electronic check,104.8,7308.95,Male,1,Yes,No,70,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3.4360655737704917
0103-CSITQ,No,One year,Yes,Bank transfer (automatic),109.4,6252.7,Female,0,Yes,No,57,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.5868852459016396
0104-PPXDV,No,One year,No,Credit card (automatic),50.3,2878.55,Male,0,Yes,No,58,DSL,No,No,Yes,No,No,No,Yes,No,1.6491803278688524
0106-GHRQR,No,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,Male,0,No,No,16,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,2.3409836065573773
0106-UGRDO,No,Two year,Yes,Electronic check,116.0,8182.85,Female,0,Yes,No,69,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.80327868852459
0107-WESLM,Yes,Month-to-month,Yes,Electronic check,19.85,19.85,Male,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6508196721311476
0107-YHINA,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Male,0,No,Yes,1,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,3.2704918032786887
0111-KLBQG,No,Month-to-month,Yes,Mailed check,93.95,2861.45,Male,1,Yes,Yes,32,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,3.080327868852459
0112-QAWRZ,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,Male,0,Yes,Yes,16,Fiber optic,No,No,Yes,No,Yes,No,Yes,Yes,2.9770491803278687
0112-QWPNC,Yes,One year,No,Electronic check,84.35,4059.35,Male,0,Yes,No,49,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2.765573770491803
0114-IGABW,No,Two year,No,Bank transfer (automatic),58.25,4145.9,Female,0,Yes,No,71,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No phone service,1.9098360655737705
0114-PEGZZ,No,Month-to-month,No,Electronic check,107.55,3645.5,Female,0,No,No,33,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3.5262295081967214
0114-RSRRW,No,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,Female,0,Yes,No,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6540983606557377
0115-TFERT,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Male,0,Yes,No,21,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.6459016393442623
0117-LFRMW,Yes,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,Male,0,Yes,Yes,37,DSL,Yes,Yes,Yes,No,No,No,No,No phone service,1.318032786885246
0118-JPNOY,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,Female,1,No,No,26,Fiber optic,Yes,No,No,No,Yes,No,Yes,No,2.8131147540983608
0120-YZLQA,,Two year,Yes,Credit card (automatic),19.9,1355.1,Male,0,No,No,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6524590163934426
0121-SNYRK,No,One year,Yes,Mailed check,35.4,1748.9,Male,0,No,No,50,DSL,Yes,No,No,Yes,No,No,No,No phone service,1.160655737704918
0122-OAHPZ,Yes,Month-to-month,Yes,Electronic check,73.85,511.25,Female,0,No,No,7,Fiber optic,No,No,No,No,No,No,Yes,Yes,2.4213114754098357
0123-CRBRT,No,Two year,No,Mailed check,88.1,5526.75,Female,0,Yes,Yes,61,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.888524590163934
0125-LZQXK,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,Male,0,No,No,15,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,3.322950819672131
0128-MKWSG,No,Month-to-month,No,Mailed check,45.8,1147,Female,0,No,Yes,26,DSL,Yes,No,No,Yes,No,Yes,No,No phone service,1.501639344262295
0129-KPTWJ,No,Month-to-month,Yes,Electronic check,94.65,6747.35,Male,0,Yes,No,72,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,3.10327868852459
0129-QMPDR,No,One year,Yes,Bank transfer (automatic),20.5,865.05,Male,0,Yes,Yes,44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6721311475409836
0130-SXOUN,No,Month-to-month,No,Credit card (automatic),89.4,5976.9,Male,0,No,No,66,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes,2.9311475409836065
0133-BMFZO,Yes,Month-to-month,Yes,Electronic check,86.25,181.65,Female,0,No,No,2,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,No,2.8278688524590163
0134-XWXCE,No,One year,No,Bank transfer (automatic),74.85,3268.05,Female,1,No,No,44,DSL,No,No,Yes,Yes,Yes,Yes,Yes,No,2.4540983606557374
0135-NMXAP,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Female,0,No,No,12,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,2.942622950819672
0136-IFMYD,No,Two year,Yes,Electronic check,109.95,7634.25,Male,1,Yes,No,69,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.6049180327868853
0137-OCGAB,Yes,Month-to-month,Yes,Mailed check,80.2,80.2,Female,0,No,No,1,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,2.6295081967213116
0137-UDEUO,Yes,Month-to-month,No,Mailed check,19.85,63.75,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6508196721311476
0139-IVFJG,No,Month-to-month,No,Electronic check,90.35,190.5,Female,0,Yes,No,2,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,No,2.962295081967213
0141-YEAYS,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,Female,1,No,No,27,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,2.834426229508197
0142-GVYSN,No,Month-to-month,Yes,Electronic check,20.3,511.25,Male,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6655737704918033
0147-ESWWR,No,Month-to-month,Yes,Electronic check,101.25,3949.15,Female,1,Yes,No,39,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes,3.319672131147541
0148-DCDOS,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Male,0,No,No,25,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,3.1049180327868853
0151-ONTOV,Yes,Month-to-month,No,Mailed check,70.9,70.9,Female,0,No,No,1,Fiber optic,No,No,No,No,No,No,Yes,No,2.3245901639344266
0154-QYHJU,,One year,Yes,Electronic check,58.75,1696.2,Male,0,No,No,29,DSL,Yes,Yes,No,Yes,No,No,Yes,No,1.9262295081967213
0156-FVPTA,Yes,Month-to-month,Yes,Electronic check,54.2,1152.7,Male,0,Yes,No,22,DSL,Yes,No,No,Yes,No,No,Yes,No,1.777049180327869
0162-RZGMZ,,Month-to-month,No,Credit card (automatic),59.9,287.85,Female,1,No,No,5,DSL,Yes,Yes,No,Yes,No,No,Yes,No,1.9639344262295082
0164-APGRB,No,Two year,Yes,Electronic check,114.9,8496.7,Female,0,No,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.7672131147540986
0164-XAIRP,No,Two year,Yes,Bank transfer (automatic),19.55,470.2,Female,0,No,No,24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6409836065573771
0168-XZKBB,No,Month-to-month,Yes,Electronic check,86.85,1564.4,Female,0,Yes,No,19,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,2.847540983606557
0174-QRVVY,No,Two year,No,Credit card (automatic),25.35,1847.55,Male,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,0.8311475409836067
0177-PXBAT,No,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,Male,1,Yes,No,33,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.60327868852459
0178-CIIKR,No,Month-to-month,No,Mailed check,19.95,58,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6540983606557377
0178-SZBHO,No,Month-to-month,No,Electronic check,87.2,4017.45,Male,0,Yes,Yes,47,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,2.859016393442623
0181-RITDD,No,Two year,No,Mailed check,108.15,6825.65,Male,0,Yes,Yes,62,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.5459016393442626
0186-CAERR,No,One year,Yes,Bank transfer (automatic),116.3,8309.55,Male,0,No,No,71,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.8131147540983608
0187-QSXOE,No,Month-to-month,Yes,Electronic check,89.0,605.45,Male,1,Yes,No,7,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,2.918032786885246
0187-WZNAB,No,Month-to-month,No,Mailed check,74.4,1972.35,Female,0,Yes,Yes,27,Fiber optic,Yes,No,No,No,No,No,Yes,No,2.4393442622950823
0188-GWFLE,No,Month-to-month,No,Mailed check,20.05,33.7,Male,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6573770491803279
0191-EQUUH,No,Two year,No,Bank transfer (automatic),35.05,844.45,Female,0,No,Yes,25,DSL,Yes,No,No,Yes,No,No,No,No phone service,1.1491803278688524
0191-ZHSKZ,No,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,1,No,No,30,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,2.4508196721311477
0193-ESZXP,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,Female,1,Yes,No,58,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.459016393442623
0195-IESCP,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,Male,0,Yes,No,10,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,2.7950819672131146
0196-JTUQI,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Female,0,No,No,9,Fiber optic,No,No,No,No,No,No,Yes,Yes,2.4655737704918033
0196-VULGZ,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,Female,1,Yes,No,6,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,2.765573770491803
0197-PNKNK,No,One year,No,Bank transfer (automatic),84.45,5848.6,Female,0,Yes,Yes,69,Fiber optic,Yes,No,Yes,No,No,No,Yes,Yes,2.7688524590163937
0201-MIBOL,No,Two year,Yes,Bank transfer (automatic),102.4,6471.85,Female,1,No,No,66,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,3.357377049180328
0201-OAMXR,Yes,One year,No,Credit card (automatic),115.55,8127.6,Female,0,No,No,70,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.7885245901639344
0203-HHYIJ,Yes,One year,No,Bank transfer (automatic),25.3,676.35,Male,0,No,No,25,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,0.8295081967213115
0206-OYVOC,No,Two year,Yes,Mailed check,19.25,864.2,Female,0,Yes,Yes,46,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6311475409836066
0206-TBWLC,No,One year,Yes,Mailed check,114.65,6049.5,Female,0,Yes,No,54,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.7590163934426233
0207-MDKNV,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Female,0,No,No,15,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.445901639344262
0208-BPQEJ,No,Month-to-month,No,Bank transfer (automatic),19.4,198.1,Female,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6360655737704918
0212-ISBBF,No,Month-to-month,Yes,Electronic check,50.35,1098.85,Female,0,No,No,22,DSL,No,Yes,No,No,Yes,Yes,No,No phone service,1.6508196721311477
0214-JHPFW,No,Two year,No,Bank transfer (automatic),57.8,4039.3,Female,0,Yes,No,70,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No phone service,1.8950819672131147
0215-BQKGS,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Male,0,No,No,30,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,No,2.763934426229508
0218-QNVAS,No,One year,No,Bank transfer (automatic),100.55,7113.75,Male,0,Yes,Yes,71,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,3.2967213114754097
0219-QAERP,No,One year,No,Credit card (automatic),19.8,576.65,Male,0,Yes,No,30,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6491803278688525
0219-YTZUE,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Male,0,Yes,Yes,4,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,2.780327868852459
0220-EBGCE,Yes,Month-to-month,Yes,Electronic check,85.85,167.3,Male,0,No,No,2,Fiber optic,No,No,Yes,No,No,Yes,Yes,No,2.8147540983606554
0221-NAUXK,No,One year,Yes,Bank transfer (automatic),19.95,219.5,Male,0,No,Yes,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.6540983606557377
0221-WMXNQ,No,Month-to-month,No,Electronic check,75.35,273.4,Male,1,No,No,4,Fiber optic,Yes,No,No,No,No,No,Yes,No,2.4704918032786884
0222-CNVPT,No,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,Male,1,No,No,52,DSL,Yes,No,No,No,Yes,Yes,No,No phone service,1.5999999999999999
0224-HJAPT,Yes,Month-to-month,No,Electronic check,47.15,223.15,Male,0,No,No,5,DSL,No,No,No,No,No,No,Yes,Yes,1.5459016393442622
0224-NIJLP,No,Two year,No,Mailed check,20.15,165.5,Male,0,Yes,Yes,8,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,0.660655737704918
0224-RLWWD,No,Month-to-month,Yes,Electronic check,44.3,89.3,Female,1,No,No,2,DSL,No,No,No,No,No,No,Yes,No,1.4524590163934425
0225-ZORZP,No,Month-to-month,No,Electronic check,84.3,235.05,Male,0,No,No,3,Fiber optic,No,Yes,No,No,No,Yes,Yes,No,2.763934426229508
0228-MAUWC,No,Month-to-month,No,Electronic check,59.55,1144.6,Male,0,No,No,19,DSL,No,No,Yes,Yes,No,No,Yes,Yes,1.9524590163934425
0229-LFJAF,No,Two year,No,Bank transfer (automatic),69.65,4908.25,Male,0,No,No,72,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2.283606557377049
0230-UBYPQ,No,One year,No,Bank transfer (automatic),36.1,2298.9,Male,1,Yes,No,63,DSL,Yes,No,No,Yes,No,No,No,No phone service,1.1836065573770491
0230-WEQUW,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,Male,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No phone service,1.8557377049180328
0231-LXVAP,Yes,Month-to-month,Yes,Electronic check,75.9,75.9,Male,0,No,No,1,Fiber optic,No,No,No,Yes,No,No,Yes,No,2.4885245901639346
0233-FTHAV,No,One year,Yes,Bank transfer (automatic),79.2,4765,Female,0,No,No,60,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,2.59672131147541
0234-TEVTT,No,One year,No,Credit card (automatic),45.0,2196.3,Female,0,Yes,Yes,48,DSL,Yes,No,Yes,No,No,Yes,No,No phone service,1.4754098360655739
0235-KGSLC,Yes,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Female,0,No,No,1,Fiber optic,No,No,Yes,No,Yes,No,Yes,No,2.804918032786885
0236-HFWSV,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Male,0,No,No,15,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,3.0606557377049177
0237-YFUTL,No,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,Female,0,Yes,No,50,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.595081967213115
0238-WHBIQ,No,Two year,No,Credit card (automatic),89.7,6339.3,Male,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.9409836065573773
0239-OXEXL,No,Month-to-month,No,Mailed check,84.25,3847.6,Female,0,No,No,46,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,2.762295081967213
0244-LGNFY,No,Two year,No,Bank transfer (automatic),92.65,6733,Female,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.037704918032787
